Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,1802.0,Corporation Bank,Banking,India,1380.0,180,17130.0,1370.0,
2011,1645.0,Corporation Bank,Banking,India,1873.0,263.6,24882.0,1769.0,
2012,,Corporation Bank,Banking,India,2304.0,318.8,32193.0,1348.0,1551.0
2013,,Corporation Bank,Banking,India,2856.0,298.5,32118.0,1092.0,1656.0
2014,,Corporation Bank,Banking,India,3115.0,265.2,35625.0,770.0,1789.0
2015,,Corporation Bank,Banking,India,3246.0,94.1,37231.0,681.0,1814.0
2016,,Corporation Bank,Banking,India,3440.0,93.7,36116.0,629.0,1846.0
2017,,Corporation Bank,Banking,India,3231.0,-76.7,35544.0,980.0,1854.0
2018,,Corporation Bank,Banking,India,3366.0,84.4,38257.0,714.0,1862.0
2019,,Corporation Bank,Banking,India,3094.0,-628.0,34105.0,2416.0,1952.0
