Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1195.0,Credicorp,Banking,Peru,1720.0,350,18200.0,7030.0,
2009,1191.0,Credicorp,Banking,Peru,2370.0,360,21060.0,2900.0,
2010,961.0,Credicorp,Banking,Peru,2100.0,490,22150.0,6350.0,
2011,916.0,Credicorp,Banking,Peru,2660.0,575.3,28428.0,10146.0,
2012,,Credicorp,Banking,Peru,3310.0,724.0,30624.0,11968.0,857.0
2013,,Credicorp,Banking,Peru,3628.0,813.0,40969.0,12675.0,796.0
2014,,Credicorp,Banking,Peru,4536.0,567.0,40982.0,11020.0,900.0
2015,,Credicorp,Banking,Peru,5053.0,842.9,45446.0,11964.0,789.0
2016,,Credicorp,Banking,Peru,4927.0,972.7,45576.0,11343.0,738.0
2017,,Credicorp,Banking,Peru,4534.0,1041.9,46657.0,12731.0,761.0
2018,,Credicorp,Banking,Peru,5451.0,1305.5,52850.0,18040.0,716.0
2019,,Credicorp,Banking,Peru,5321.0,1213.0,52585.0,18452.0,727.0
2020,,Credicorp,Banking,Peru,5782.0,1278.4,56879.0,11886.0,717.0
2021,,Credicorp,Banking,Peru,5158.0,91.5,65763.0,11208.0,1419
2022,1111,Credicorp,Banking,Peru,4889.0,915.7,61347.0,11702.0,
