Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1242.0,Crown Holdings,Materials,United States,7730.0,550,7000.0,3980.0,
2009,1286.0,Crown Holdings,Materials,United States,8310.0,230,6770.0,3370.0,
2010,1188.0,Crown Holdings,Materials,United States,7940.0,330,6530.0,4460.0,
2011,1373.0,Crown Holdings,Materials,United States,7941.0,324.0,6899.0,6069.0,
2012,,Crown Holdings,Materials,United States,8644.0,282.0,6868.0,5602.0,1590.0
2013,,Crown Holdings,Materials,United States,8470.0,557.0,7490.0,5797.0,1303.0
2014,,Crown Holdings,Materials,United States,8665.0,324.0,8030.0,6254.0,1622.0
2015,,Crown Holdings,Materials,United States,9099.0,387.0,9708.0,7665.0,1419.0
2016,,Crown Holdings,Materials,United States,8657.0,428.0,9940.0,7545.0,1261.0
2017,,Crown Holdings,Materials,United States,8294.0,496.0,9599.0,7360.0,1359.0
2018,,Crown Holdings,Materials,United States,9007.0,306.0,13079.0,6001.0,1956.0
2019,,Crown Holdings,Materials,United States,11719.0,452.0,15357.0,7637.0,1291.0
2020,,Crown Holdings,Materials,United States,11660.0,495.0,15533.0,8673.0,1125.0
2021,,Crown Holdings,Materials,United States,11561.0,579.0,16670.0,14718.0,952
2022,1535,Crown Holdings,Materials,United States,11928.0,-551.0,13858.0,14752.0,
