Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1225.0,DP World,Transportation,United Arab Emirates,2290.0,70,17460.0,14940.0,
2009,962.0,DP World,Transportation,United Arab Emirates,2730.0,1100,17170.0,3150.0,
2010,1007.0,DP World,Transportation,United Arab Emirates,3280.0,480,15460.0,6140.0,
2011,1179.0,DP World,Transportation,United Arab Emirates,2929.0,332.9,18856.0,9462.0,
2012,,DP World,Transportation,United Arab Emirates,3078.0,374.8,19272.0,9138.0,1224.0
2013,,DP World,Transportation,United Arab Emirates,3121.0,749.0,16434.0,11952.0,985.0
2014,,DP World,Transportation,United Arab Emirates,3073.0,639.6,16761.0,15098.0,1020.0
2015,,DP World,Transportation,United Arab Emirates,3463.0,700.6,17981.0,18260.0,976.0
2016,,DP World,Transportation,United Arab Emirates,4043.0,882.9,20331.0,15770.0,906.0
2017,,DP World,Transportation,United Arab Emirates,4232.0,1024.3,20751.0,17986.0,883.0
2018,,DP World,Transportation,United Arab Emirates,4729.0,1176.7,23158.0,18268.0,915.0
2019,,DP World,Transportation,United Arab Emirates,5646.0,1296.0,26513.0,14243.0,851.0
2020,,DP World,Transportation,United Arab Emirates,7385.0,1188.8,34063.0,13272.0,715.0
