Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,713.0,Dai Nippon Printing,Media,Japan,13260.0,470,14400.0,10640.0,
2009,613.0,Dai Nippon Printing,Media,Japan,16190.0,450,15900.0,6010.0,
2010,853.0,Dai Nippon Printing,Media,Japan,16280.0,-210,15050.0,9170.0,
2011,837.0,Dai Nippon Printing,Media,Japan,16942.0,249.1,16891.0,9020.0,
2012,,Dai Nippon Printing,Media,Japan,19120.0,301.1,19457.0,7010.0,879.0
2013,,Dai Nippon Printing,Media,Japan,18207.0,-197.6,19129.0,6413.0,1061.0
2014,,Dai Nippon Printing,Media,Japan,14682.0,320.9,14731.0,6111.0,1160.0
2015,,Dai Nippon Printing,Media,Japan,13843.0,266.6,14394.0,6388.0,1396.0
2016,,Dai Nippon Printing,Media,Japan,12064.0,242.7,14599.0,6710.0,1314.0
2017,,Dai Nippon Printing,Media,Japan,13030.0,291.6,14380.0,7199.0,1270.0
2018,,Dai Nippon Printing,Media,Japan,12742.0,248.1,17024.0,6490.0,1538.0
2019,,Dai Nippon Printing,Business Services & Supplies,Japan,12746.0,508.0,15765.0,7060.0,1251.0
2020,,Dai Nippon Printing,Business Services & Supplies,Japan,12864.0,238.3,16372.0,6210.0,1533.0
2021,,Dai Nippon Printing,Business Services & Supplies,Japan,12573.0,61.2,16532.0,5893.0,1759
2022,1636,Dai Nippon Printing,Business Services & Supplies,Japan,12282.0,641.9,16552.0,5628.0,
