Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,869.0,Daiwa House Industry,Construction,Japan,13770.0,390,13420.0,6010.0,
2009,901.0,Daiwa House Industry,Construction,Japan,17130.0,130,17220.0,3980.0,
2010,906.0,Daiwa House Industry,Construction,Japan,17370.0,40,17270.0,6380.0,
2011,967.0,Daiwa House Industry,Construction,Japan,17226.0,204.5,19342.0,6934.0,
2012,,Daiwa House Industry,Construction,Japan,20333.0,328.0,21918.0,7695.0,806.0
2013,,Daiwa House Industry,Construction,Japan,22333.0,401.1,24045.0,11531.0,662.0
2014,,Daiwa House Industry,Construction,Japan,25384.0,782.3,24698.0,11124.0,562.0
2015,,Daiwa House Industry,Construction,Japan,26267.0,1189.1,24451.0,13438.0,514.0
2016,,Daiwa House Industry,Construction,Japan,25416.0,1250.8,26734.0,18762.0,391.0
2017,,Daiwa House Industry,Construction,Japan,31891.0,1160.6,29602.0,19056.0,389.0
2018,,Daiwa House Industry,Construction,Japan,34250.0,2132.6,37943.0,25308.0,343.0
2019,,Daiwa House Industry,Construction,Japan,36686.0,2221.0,38978.0,17769.0,368.0
2020,,Daiwa House Industry,Construction,Japan,39953.0,2282.3,42688.0,17124.0,324.0
2021,,Daiwa House Industry,Construction,Japan,39534.0,1809.3,48317.0,20630.0,328
2022,467,Daiwa House Industry,Construction,Japan,38861.0,1886.7,47861.0,15823.0,
