Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1434.0,Dangote Cement,Construction,Nigeria,1268.0,384.4,2121.0,12507.0,
2012,,Dangote Cement,Construction,Nigeria,1333.0,693.0,2645.0,10943.0,1329.0
2013,,Dangote Cement,Construction,Nigeria,1453.0,774.7,3249.0,15121.0,1190.0
2014,,Dangote Cement,Construction,Nigeria,2425.0,1267.9,5272.0,24321.0,1046.0
2015,,Dangote Cement,Construction,Nigeria,2355.0,995.9,5381.0,15569.0,1216.0
2016,,Dangote Cement,Construction,Nigeria,2483.0,934.1,5581.0,13786.0,1220.0
2017,,Dangote Cement,Construction,Nigeria,2371.0,745.2,4851.0,9144.0,1500.0
2018,,Dangote Cement,Construction,Nigeria,2436.0,571.9,4776.0,11565.0,1652.0
2019,,Dangote Cement,Construction,Nigeria,2493.0,1076.0,4662.0,8959.0,1530.0
2021,,Dangote Cement,Construction,Nigeria,2710.0,720.7,5123.0,9111.0,1963
2022,1841,Dangote Cement,Construction,Nigeria,3375.0,880.7,5781.0,11677.0,
