Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1181.0,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,7080.0,370,4970.0,3720.0,
2010,1118.0,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,7150.0,390,5040.0,5750.0,
2011,1277.0,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,7271.0,437.5,5252.0,6489.0,
2012,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,7741.0,449.0,5865.0,6745.0,1310.0
2013,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,8319.0,430.0,6958.0,6386.0,1359.0
2014,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,8740.0,332.8,7225.0,6792.0,1542.0
2015,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,6536.0,690.7,6003.0,8371.0,1317.0
2016,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,7022.0,340.7,4502.0,8022.0,1509.0
2017,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,7026.0,494.9,4680.0,10300.0,1265.0
2018,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,7881.0,545.3,5455.0,11182.0,1334.0
2019,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,8415.0,680.0,5698.0,14372.0,1132.0
2020,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,8766.0,635.6,9973.0,9584.0,1219.0
2021,,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,6187.0,-219.2,10096.0,19146.0,1800
2022,1162,Darden Restaurants,"Hotels, Restaurants & Leisure",United States,9306.0,1039.6,10205.0,16721.0,
