Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,857.0,Dassault Aviation,Aerospace & Defense,France,5960.0,560,13970.0,8640.0,
2009,816.0,Dassault Aviation,Aerospace & Defense,France,5960.0,560,13990.0,4370.0,
2010,808.0,Dassault Aviation,Aerospace & Defense,France,5220.0,520,13540.0,7400.0,
2011,1002.0,Dassault Aviation,Aerospace & Defense,France,5605.0,358.0,14544.0,8759.0,
2012,,Dassault Aviation,Aerospace & Defense,France,4602.0,449.0,13188.0,9302.0,1159.0
2013,,Dassault Aviation,Aerospace & Defense,France,5068.0,655.8,13692.0,11868.0,967.0
2014,,Dassault Aviation,Aerospace & Defense,France,6098.0,609.9,13873.0,14201.0,948.0
2015,,Dassault Aviation,Aerospace & Defense,France,4882.0,375.2,12015.0,11244.0,1451.0
2016,,Dassault Aviation,Aerospace & Defense,France,4631.0,156.9,13258.0,10106.0,1635.0
2017,,Dassault Aviation,Aerospace & Defense,France,4041.0,419.3,14434.0,10374.0,1433.0
2018,,Dassault Aviation,Aerospace & Defense,France,5451.0,799.7,18318.0,16799.0,999.0
2019,,Dassault Aviation,Aerospace & Defense,France,6039.0,676.0,19494.0,12121.0,1082.0
2020,,Dassault Aviation,Aerospace & Defense,France,8250.0,797.7,17252.0,6783.0,1146.0
2021,,Dassault Aviation,Aerospace & Defense,France,6260.0,345.1,16777.0,9623.0,1889
2022,1279,Dassault Aviation,Aerospace & Defense,France,8565.0,715.6,18441.0,14161.0,
