Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,87.0,Dexia,Banking,Belgium,140780.0,3470,889980.0,28040.0,
2009,590.0,Dexia,Banking,Belgium,153350.0,-4630,906060.0,3760.0,
2010,171.0,Dexia,Banking,Belgium,98010.0,1450,828740.0,9380.0,
2011,345.0,Dexia,Banking,Belgium,70388.0,969.9,760303.0,7339.0,
2012,,Dexia,Banking,Belgium,24838.0,-15076.5,535823.0,783.0,889.0
2013,,Dexia,Banking,Belgium,26641.0,-16206.2,534926.0,127.0,883.0
2014,,Dexia,Banking,Belgium,20167.0,-1438.0,307811.0,134.0,932.0
2015,,Dexia,Banking,Belgium,,-803.8,299028.0,2352.0,1489.0
2016,,Dexia,Banking,Belgium,725.0,180.8,250154.0,44.0,1494.0
2017,,Dexia,Banking,Belgium,393.0,417.0,224420.0,373.0,1240.0
2018,,Dexia,Banking,Belgium,11063.0,-521.1,217270.0,16.0,1062.0
2019,,Dexia,Banking,Belgium,11049.0,-558.7,196545.0,9.0,1074.0
