Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1514.0,Dongfeng Motor Group,Consumer Durables,China,6180.0,270,5620.0,5380.0,
2009,1017.0,Dongfeng Motor Group,Consumer Durables,China,8120.0,520,7100.0,3200.0,
2010,650.0,Dongfeng Motor Group,Consumer Durables,China,10360.0,590,8640.0,12700.0,
2011,574.0,Dongfeng Motor Group,Consumer Durables,China,13441.0,915.5,12351.0,14936.0,
2012,,Dongfeng Motor Group,Consumer Durables,China,18570.0,1666.0,16455.0,15917.0,450.0
2013,,Dongfeng Motor Group,Consumer Durables,China,19658.0,1441.0,19213.0,11769.0,503.0
2014,,Dongfeng Motor Group,Consumer Durables,China,6061.0,1549.8,19161.0,12440.0,739.0
2015,,Dongfeng Motor Group,Consumer Durables,China,13140.0,2084.2,23448.0,14359.0,542.0
2016,,Dongfeng Motor Group,Consumer Durables,China,20152.0,1841.9,24761.0,9853.0,509.0
2017,,Dongfeng Motor Group,Consumer Durables,China,18414.0,2011.4,26615.0,9359.0,550.0
2018,,Dongfeng Motor Group,Consumer Durables,China,18531.0,2081.4,32631.0,9714.0,598.0
2019,,Dongfeng Motor Group,Consumer Durables,China,15889.0,1983.0,32993.0,9379.0,618.0
2020,,Dongfeng Motor Group,Consumer Durables,China,14627.0,1873.2,39048.0,5724.0,695.0
2021,,Dongfeng Motor Group,Consumer Durables,China,15662.0,1576.3,48399.0,8095.0,677
2022,767,Dongfeng Motor Group,Consumer Durables,China,17503.0,1761.5,50173.0,6227.0,
