Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1055.0,Dubai Islamic Bank,Banking,United Arab Emirates,1140.0,420,17550.0,9450.0,
2009,1179.0,Dubai Islamic Bank,Banking,United Arab Emirates,1460.0,680,22790.0,1950.0,
2010,1347.0,Dubai Islamic Bank,Banking,United Arab Emirates,1390.0,330,23150.0,2250.0,
2011,1550.0,Dubai Islamic Bank,Banking,United Arab Emirates,1384.0,328.8,22947.0,2202.0,
2012,,Dubai Islamic Bank,Banking,United Arab Emirates,1363.0,274.0,24658.0,2295.0,1808.0
2013,,Dubai Islamic Bank,Banking,United Arab Emirates,1326.0,312.0,25961.0,2181.0,1694.0
2014,,Dubai Islamic Bank,Banking,United Arab Emirates,1273.0,438.6,30844.0,6758.0,1257.0
2015,,Dubai Islamic Bank,Banking,United Arab Emirates,1697.0,657.6,33729.0,6932.0,1182.0
2016,,Dubai Islamic Bank,Banking,United Arab Emirates,1992.0,866.5,40811.0,6606.0,1027.0
2017,,Dubai Islamic Bank,Banking,United Arab Emirates,2299.0,843.1,47638.0,7804.0,1013.0
2018,,Dubai Islamic Bank,Banking,United Arab Emirates,2804.0,1086.0,57470.0,6593.0,1121.0
2019,,Dubai Islamic Bank,Banking,United Arab Emirates,3146.0,1203.0,60897.0,9184.0,926.0
2020,,Dubai Islamic Bank,Banking,United Arab Emirates,3700.0,1237.5,63105.0,7221.0,932.0
2021,,Dubai Islamic Bank,Banking,United Arab Emirates,3558.0,745.7,78831.0,8854.0,1092
2022,990,Dubai Islamic Bank,Banking,United Arab Emirates,3164.0,1037.8,75981.0,12376.0,
