Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,608.0,Eaton,Capital Goods,United States,13030.0,990,13430.0,11810.0,
2009,489.0,Eaton,Capital Goods,United States,15380.0,1060,16660.0,5970.0,
2010,576.0,Eaton,Capital Goods,United States,11870.0,380,16280.0,11610.0,
2011,487.0,Eaton,Capital Goods,United States,13715.0,929.0,17252.0,17571.0,
2012,,Eaton,Capital Goods,United States,16049.0,1350.0,17873.0,17076.0,462.0
2013,,Eaton,Capital Goods,Ireland,16311.0,1217.0,35848.0,29477.0,347.0
2014,,Eaton,Capital Goods,Ireland,22046.0,1861.0,35491.0,36064.0,299.0
2015,,Eaton,Capital Goods,Ireland,22552.0,1793.0,33529.0,32231.0,318.0
2016,,Eaton,Capital Goods,Ireland,20855.0,1979.0,31031.0,28852.0,315.0
2017,,Eaton,Capital Goods,Ireland,19747.0,1922.0,30419.0,33449.0,322.0
2018,,Eaton,Capital Goods,Ireland,20807.0,3036.0,32668.0,33440.0,345.0
2019,,Eaton,Capital Goods,Ireland,21609.0,2145.0,31092.0,36148.0,361.0
2020,,Eaton,Capital Goods,Ireland,20874.0,2127.0,30845.0,34355.0,339.0
2021,,Eaton,Capital Goods,Ireland,17858.0,1410.0,31824.0,56229.0,354
2022,398,Eaton,Capital Goods,Ireland,19628.0,2144.0,34027.0,58353.0,
