Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1725.0,Empire,Food Markets,Canada,12070.0,190,4720.0,2530.0,
2009,1441.0,Empire,Food Markets,Canada,11980.0,210,4750.0,2610.0,
2010,1345.0,Empire,Food Markets,Canada,14250.0,260,5580.0,3170.0,
2011,1390.0,Empire,Food Markets,Canada,15671.0,350.6,6357.0,3626.0,
2012,,Empire,Food Markets,Canada,16362.0,328.9,6491.0,3797.0,1474.0
2013,,Empire,Food Markets,Canada,17421.0,370.0,6967.0,4239.0,1425.0
2014,,Empire,Food Markets,Canada,18636.0,329.3,11140.0,5575.0,1274.0
2015,,Empire,Food Markets,Canada,21631.0,327.1,9396.0,6869.0,1326.0
2016,,Empire,Food Markets,Canada,18597.0,-874.1,7199.0,4513.0,1702.0
2017,,Empire,Food Markets,Canada,18445.0,-617.8,6700.0,4096.0,1675.0
2018,,Empire,Food Markets,Canada,18681.0,91.4,7040.0,5232.0,1692.0
2019,,Empire,Food Markets,Canada,19030.0,258.0,7101.0,6043.0,1717.0
2020,,Empire,Food Markets,Canada,19467.0,398.3,10565.0,5954.0,1487.0
2021,,Empire,Food Markets,Canada,21184.0,528.4,11713.0,8444.0,1248
2022,1426,Empire,Food Markets,Canada,23338.0,590.0,12922.0,8722.0,
