Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,906.0,Equity Residential,Diversified Financials,United States,2040.0,990,15690.0,10300.0,
2009,1034.0,Equity Residential,Diversified Financials,United States,2100.0,420,16540.0,4800.0,
2010,975.0,Equity Residential,Diversified Financials,United States,1940.0,360,15420.0,10180.0,
2011,1112.0,Equity Residential,Real Estate,United States,1996.0,285.0,16184.0,16037.0,
2012,,Equity Residential,Real Estate,United States,2050.0,893.6,16659.0,18005.0,856.0
2013,,Equity Residential,Real Estate,United States,2124.0,841.7,17201.0,20189.0,847.0
2014,,Equity Residential,Real Estate,United States,2440.0,-218.9,22835.0,21145.0,1217.0
2015,,Equity Residential,Real Estate,United States,2599.0,631.3,22951.0,28769.0,879.0
2016,,Equity Residential,Real Estate,United States,2727.0,532.2,23157.0,25826.0,917.0
2017,,Equity Residential,Real Estate,United States,2388.0,232.3,20704.0,23142.0,1294.0
2018,,Equity Residential,Real Estate,United States,2481.0,409.0,20384.0,23032.0,1231.0
2019,,Equity Residential,Diversified Financials,United States,2560.0,400.0,20394.0,27771.0,1232.0
2020,,Equity Residential,Diversified Financials,United States,2680.0,968.3,21173.0,24209.0,882.0
2021,,Equity Residential,Diversified Financials,United States,2539.0,879.4,20287.0,27063.0,950
2022,963,Equity Residential,Diversified Financials,United States,2433.0,1332.8,21169.0,34265.0,
