Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,449.0,Etisalat,Telecommunications services,United Arab Emirates,8693.0,2077.6,20486.0,24323.0,
2012,,Etisalat,Telecommunications services,United Arab Emirates,8778.0,1589.7,19762.0,19997.0,509.0
2013,,Etisalat,Telecommunications services,United Arab Emirates,8970.0,1836.0,21820.0,21848.0,497.0
2014,,Etisalat,Telecommunications services,United Arab Emirates,10578.0,1927.1,23337.0,25830.0,458.0
2015,,Etisalat,Telecommunications services,United Arab Emirates,13277.0,2420.9,33111.0,26636.0,383.0
2016,,Etisalat,Telecommunications services,United Arab Emirates,14123.0,2239.0,34921.0,45223.0,312.0
2017,,Etisalat,Telecommunications services,United Arab Emirates,14255.0,2292.7,33365.0,42739.0,320.0
2018,,Etisalat,Telecommunications services,United Arab Emirates,14243.0,2304.7,34625.0,38238.0,392.0
2019,,Etisalat,Telecommunications Services,United Arab Emirates,14263.0,2391.0,34097.0,39350.0,384.0
2020,,Etisalat,Telecommunications Services,United Arab Emirates,14241.0,2357.4,35406.0,36699.0,358.0
2021,,Etisalat,Telecommunications Services,United Arab Emirates,14077.0,2457.4,36214.0,51852.0,326
2022,412,Etisalat,Telecommunications Services,United Arab Emirates,14522.0,2536.5,34902.0,83817.0,
