Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1246.0,Eurazeo,Diversified Financials,France,2920.0,400,14290.0,6560.0,
2009,872.0,Eurazeo,Diversified Financials,France,5930.0,1330,24410.0,1290.0,
2010,1356.0,Eurazeo,Diversified Financials,France,6110.0,-80,21420.0,3490.0,
2011,1514.0,Eurazeo,Diversified Financials,France,5747.0,-285.6,20615.0,3981.0,
2012,,Eurazeo,Diversified Financials,France,5825.0,-135.8,20776.0,3263.0,1614.0
2013,,Eurazeo,Diversified Financials,France,5684.0,-255.0,17675.0,3563.0,1804.0
2014,,Eurazeo,Diversified Financials,France,5747.0,745.0,16914.0,5760.0,1144.0
2016,,Eurazeo,Diversified Financials,France,4224.0,1415.0,8012.0,4932.0,1613.0
2017,,Eurazeo,Diversified Financials,France,3352.0,574.9,10949.0,4513.0,1987.0
2022,1336,Eurazeo,Diversified Financials,France,7408.0,1863.3,18328.0,6484.0,
