Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,202.0,Exelon,Utilities,United States,18920.0,2740,45890.0,49490.0,
2009,171.0,Exelon,Utilities,United States,18860.0,2740,47820.0,31080.0,
2010,175.0,Exelon,Utilities,United States,17320.0,2710,49180.0,29340.0,
2011,216.0,Exelon,Utilities,United States,18644.0,2563.0,52240.0,28566.0,
2012,,Exelon,Utilities,United States,18924.0,2495.0,55092.0,33085.0,221.0
2013,,Exelon,Utilities,United States,23489.0,1160.0,78554.0,28549.0,259.0
2014,,Exelon,Utilities,United States,24568.0,1719.0,79924.0,28715.0,241.0
2015,,Exelon,Utilities,United States,26332.0,1623.0,86814.0,29088.0,255.0
2016,,Exelon,Utilities,United States,28708.0,2269.0,95384.0,31421.0,191.0
2017,,Exelon,Utilities,United States,32182.0,1134.0,114904.0,33329.0,237.0
2018,,Exelon,Utilities,United States,34475.0,3360.0,117018.0,39233.0,179.0
2019,,Exelon,Utilities,United States,36444.0,2009.0,119666.0,47670.0,202.0
2020,,Exelon,Utilities,United States,33761.0,2936.0,124977.0,36113.0,169.0
2021,,Exelon,Utilities,United States,33431.0,1964.0,129317.0,45087.0,184
2022,248,Exelon,Utilities,United States,39268.0,1706.0,133013.0,47684.0,
