Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Expeditors International,Air Courier,United States,6150.0,385.7,2867.0,9715.0,1306.0
2013,,Expeditors International,Air Courier,United States,5981.0,333.4,2954.0,7938.0,1549.0
2014,,Expeditors International,Air Courier,United States,6080.0,348.5,3040.0,7988.0,1600.0
2015,,Expeditors International,Air Courier,United States,6565.0,376.9,2891.0,8995.0,1556.0
2016,,Expeditors International,Air Courier,United States,6617.0,457.2,2582.0,8936.0,1325.0
2017,,Expeditors International,Air Courier,United States,6098.0,430.8,2791.0,10077.0,1409.0
2018,,Expeditors International,Air Courier,United States,7230.0,531.8,3212.0,12638.0,1331.0
2019,,Expeditors International,Transportation,United States,8138.0,618.0,3346.0,13822.0,1212.0
2020,,Expeditors International,Transportation,United States,8175.0,590.4,3778.0,12029.0,1201.0
2021,,Expeditors International,Transportation,United States,10116.0,696.1,4928.0,18764.0,973
2022,885,Expeditors International,Transportation,United States,16682.0,1415.5,7610.0,16644.0,
