Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Experian,Business Services & Supplies,Ireland,4483.0,654.0,7810.0,18047.0,1121.0
2014,,Experian,Business Services & Supplies,Ireland,4782.0,652.1,8215.0,17991.0,1154.0
2015,,Experian,Business Services & Supplies,Ireland,4892.0,818.1,8804.0,16661.0,1147.0
2016,,Experian,Business Services & Supplies,Ireland,4656.0,674.0,7465.0,17374.0,1154.0
2017,,Experian,Business Services & Supplies,Ireland,4542.0,829.3,7691.0,18899.0,1122.0
2018,,Experian,Business Services & Supplies,Ireland,4287.0,821.2,7581.0,21591.0,1245.0
2019,,Experian,Business Services & Supplies,Ireland,4834.0,804.0,7912.0,25789.0,1209.0
2020,,Experian,Business Services & Supplies,Ireland,4991.0,726.6,8627.0,26982.0,1156.0
2021,,Experian,Business Services & Supplies,Ireland,5170.0,658.0,9130.0,34284.0,1135
2022,1212,Experian,Business Services & Supplies,Ireland,5944.0,985.4,10390.0,32217.0,
