Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Fidelity National Financial,Insurance,United States,7202.0,606.5,9903.0,5541.0,1238.0
2014,,Fidelity National Financial,Insurance,United States,8584.0,403.0,10524.0,8892.0,1186.0
2015,,Fidelity National Financial,Insurance,United States,8917.0,587.0,13868.0,10387.0,972.0
2016,,Fidelity National Financial,Insurance,United States,9151.0,527.0,14092.0,9066.0,968.0
2017,,Fidelity National Financial,Insurance,United States,8219.0,650.0,14633.0,10404.0,977.0
2018,,Fidelity National Financial,Insurance,United States,8840.0,796.0,9018.0,10509.0,1177.0
2019,,Fidelity National Financial,Insurance,United States,7592.0,628.0,9411.0,10716.0,1327.0
2020,,Fidelity National Financial,Insurance,United States,8364.0,795.0,10204.0,7358.0,1283.0
2021,,Fidelity National Financial,Insurance,United States,10791.0,1427.0,48395.0,12995.0,604
2022,592,Fidelity National Financial,Insurance,United States,15635.0,2422.0,58130.0,11578.0,
