Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,308.0,FirstRand,Banking,South Africa,14700.0,1680,102100.0,14480.0,
2009,332.0,FirstRand,Banking,South Africa,10550.0,1530,104570.0,6760.0,
2010,305.0,FirstRand,Banking,South Africa,10930.0,900,104610.0,13670.0,
2011,404.0,FirstRand,Banking,South Africa,8003.0,1275.7,110203.0,15532.0,
2012,,FirstRand,Banking,South Africa,9083.0,3007.4,102872.0,17903.0,325.0
2013,,FirstRand,Banking,South Africa,8350.0,1649.8,94063.0,17957.0,397.0
2014,,FirstRand,Banking,South Africa,6276.0,1725.0,85397.0,18756.0,475.0
2015,,FirstRand,Banking,South Africa,8349.0,1862.3,84585.0,26872.0,397.0
2016,,FirstRand,Banking,South Africa,5763.0,1730.8,73538.0,18457.0,502.0
2017,,FirstRand,Banking,South Africa,8394.0,1656.0,86325.0,18198.0,423.0
2018,,FirstRand,Banking,South Africa,6707.0,1937.7,104337.0,30278.0,470.0
2019,,FirstRand,Diversified Financials,South Africa,7591.0,2254.0,110497.0,27233.0,445.0
2020,,FirstRand,Diversified Financials,South Africa,7455.0,2038.7,122742.0,12358.0,536.0
2021,,FirstRand,Diversified Financials,South Africa,7802.0,923.0,132739.0,20541.0,534
2022,472,FirstRand,Diversified Financials,South Africa,10181.0,2179.7,124819.0,24980.0,
