Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1045.0,Fiserv,IT Software & Services,United States,3920.0,440,11850.0,8650.0,
2009,924.0,Fiserv,IT Software & Services,United States,4740.0,570,9330.0,5090.0,
2010,1027.0,Fiserv,IT Software & Services,United States,4080.0,480,8380.0,7450.0,
2011,1237.0,Fiserv,IT Software & Services,United States,4133.0,496.0,8281.0,8844.0,
2012,,Fiserv,IT Software & Services,United States,4337.0,472.0,8548.0,9586.0,1350.0
2013,,Fiserv,IT Software & Services,United States,4482.0,611.0,8497.0,11399.0,1237.0
2014,,Fiserv,IT Software & Services,United States,4814.0,654.0,9740.0,14580.0,1126.0
2015,,Fiserv,IT Software & Services,United States,5066.0,754.0,9562.0,19004.0,1076.0
2016,,Fiserv,IT Software & Services,United States,5254.0,712.0,9340.0,21862.0,1017.0
2017,,Fiserv,IT Software & Services,United States,5505.0,930.0,9743.0,24851.0,972.0
2018,,Fiserv,IT Software & Services,United States,5742.0,1422.0,10167.0,29803.0,955.0
2019,,Fiserv,Business Services & Supplies,United States,5823.0,1187.0,11262.0,33351.0,966.0
2020,,Fiserv,Business Services & Supplies,United States,10187.0,893.0,77539.0,69703.0,411.0
2021,,Fiserv,Business Services & Supplies,United States,14852.0,958.0,74619.0,83386.0,275
2022,383,Fiserv,Business Services & Supplies,United States,16226.0,1334.0,76249.0,63164.0,
