Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,808.0,Formosa Plastics,Chemicals,Taiwan,4770.0,950,9300.0,15750.0,
2009,659.0,Formosa Plastics,Chemicals,Taiwan,5970.0,1470,11200.0,7810.0,
2010,740.0,Formosa Plastics,Chemicals,Taiwan,6090.0,600,8870.0,13150.0,
2011,749.0,Formosa Plastics,Chemicals,Taiwan,5629.0,860.7,10300.0,19202.0,
2012,,Formosa Plastics,Chemicals,Taiwan,7724.0,1561.3,12190.0,18643.0,637.0
2013,,Formosa Plastics,Chemicals,Taiwan,7385.0,496.0,11788.0,15348.0,903.0
2014,,Formosa Plastics,Chemicals,Taiwan,7256.0,693.6,13431.0,15990.0,844.0
2015,,Formosa Plastics,Chemicals,Taiwan,7147.0,593.8,13641.0,15406.0,930.0
2016,,Formosa Plastics,Chemicals,Taiwan,6032.0,972.4,12893.0,15959.0,861.0
2017,,Formosa Plastics,Chemicals,Taiwan,5585.0,1217.2,13452.0,19021.0,851.0
2018,,Formosa Plastics,Chemicals,Taiwan,6795.0,1623.2,15998.0,23209.0,801.0
2019,,Formosa Plastics,Chemicals,Taiwan,7640.0,1643.0,16316.0,22293.0,758.0
2020,,Formosa Plastics,Chemicals,Taiwan,6724.0,1207.4,16582.0,18817.0,837.0
2021,,Formosa Plastics,Chemicals,Taiwan,7061.0,1220.6,17057.0,24484.0,788
2022,749,Formosa Plastics,Chemicals,Taiwan,9795.0,2554.6,19651.0,23282.0,
