Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,924.0,Fubon Financial,Insurance,Taiwan,4510.0,260,52780.0,8650.0,
2009,691.0,Fubon Financial,Insurance,Taiwan,6230.0,450,55480.0,4180.0,
2010,642.0,Fubon Financial,Diversified Financials,Taiwan,5070.0,330,60990.0,9180.0,
2011,519.0,Fubon Financial,Diversified Financials,Taiwan,7916.0,623.2,95461.0,11126.0,
2012,,Fubon Financial,Diversified Financials,Taiwan,9735.0,682.3,118047.0,10462.0,516.0
2013,,Fubon Financial,Diversified Financials,Taiwan,9401.0,1008.5,119256.0,13724.0,444.0
2014,,Fubon Financial,Diversified Financials,Taiwan,12498.0,1117.3,149078.0,13947.0,411.0
2015,,Fubon Financial,Diversified Financials,Taiwan,13636.0,1944.7,170817.0,18972.0,319.0
2016,,Fubon Financial,Diversified Financials,Taiwan,21578.0,2002.7,181917.0,12623.0,291.0
2017,,Fubon Financial,Diversified Financials,Taiwan,15380.0,1501.4,196521.0,16092.0,322.0
2018,,Fubon Financial,Diversified Financials,Taiwan,26589.0,1779.0,232059.0,17813.0,303.0
2019,,Fubon Financial,Insurance,Taiwan,21917.0,1583.0,250561.0,14933.0,349.0
2020,,Fubon Financial,Insurance,Taiwan,33311.0,1892.3,284635.0,14557.0,272.0
2021,,Fubon Financial,Insurance,Taiwan,35197.0,3065.8,328415.0,21666.0,211
2022,193,Fubon Financial,Insurance,Taiwan,33231.0,5175.4,378809.0,30626.0,
