Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Galaxy Entertainment,Casinos & Gaming,Hong Kong-China,7315.0,951.0,5727.0,16749.0,891.0
2014,,Galaxy Entertainment,Casinos & Gaming,Hong Kong,8513.0,1295.9,5966.0,39703.0,742.0
2015,,Galaxy Entertainment,Casinos & Gaming,Hong Kong,9253.0,1333.4,6685.0,19716.0,820.0
2016,,Galaxy Entertainment,Casinos & Gaming,Hong Kong,6577.0,536.7,7142.0,15118.0,1090.0
2017,,Galaxy Entertainment,Casinos & Gaming,Hong Kong,6805.0,809.5,8546.0,23830.0,946.0
2018,,Galaxy Entertainment,Casinos & Gaming,Hong Kong,8014.0,1348.0,10722.0,38224.0,832.0
2019,,Galaxy Entertainment,"Hotels, Restaurants & Leisure",Hong Kong,7044.4,1723.0,11161.0,32362.0,836.0
2020,,Galaxy Entertainment,"Hotels, Restaurants & Leisure",Hong Kong,3754.0,1664.5,12282.0,28210.0,974.0
2021,,Galaxy Entertainment,"Hotels, Restaurants & Leisure",Hong Kong,1082.0,-512.3,11959.0,38644.0,1769
2022,1922,Galaxy Entertainment,"Hotels, Restaurants & Leisure",Hong Kong,1666.0,170.6,10934.0,24556.0,
