Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,544.0,Galp Energia,Oil & Gas Operations,Portugal,18340.0,1130,8210.0,9220.0,
2010,545.0,Galp Energia,Oil & Gas Operations,Portugal,16740.0,480,10380.0,13840.0,
2011,583.0,Galp Energia,Oil & Gas Operations,Portugal,18739.0,590.4,11983.0,17513.0,
2012,,Galp Energia,Oil & Gas Operations,Portugal,21767.0,560.9,12922.0,14532.0,645.0
2013,,Galp Energia,Oil & Gas Operations,Portugal,24416.0,452.5,17988.0,13148.0,645.0
2014,,Galp Energia,Oil & Gas Operations,Portugal,26048.0,250.9,18910.0,14299.0,844.0
2015,,Galp Energia,Oil & Gas Operations,Portugal,23923.0,-229.8,15991.0,9203.0,1039.0
2016,,Galp Energia,Oil & Gas Operations,Portugal,17216.0,144.2,13897.0,11260.0,1033.0
2017,,Galp Energia,Oil & Gas Operations,Portugal,14547.0,197.9,13120.0,12784.0,1118.0
2018,,Galp Energia,Oil & Gas Operations,Portugal,17837.0,712.6,14964.0,16952.0,805.0
2019,,Galp Energia,Oil & Gas Operations,Portugal,20270.0,874.0,14503.0,13435.0,778.0
2020,,Galp Energia,Oil & Gas Operations,Portugal,18553.0,156.7,15008.0,9551.0,1194.0
2021,,Galp Energia,Oil & Gas Operations,Portugal,12983.0,-628.1,15285.0,9666.0,1607
2022,1375,Galp Energia,Oil & Gas Operations,Portugal,19043.0,4.7,16958.0,10120.0,
