Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,19.0,Gazprom,Oil & Gas Operations,Russia,81760.0,23300,201720.0,306790.0,
2009,13.0,Gazprom,Oil & Gas Operations,Russia,97290.0,26780,276810.0,74550.0,
2010,16.0,Gazprom,Oil & Gas Operations,Russia,115250.0,24330,234770.0,132580.0,
2011,15.0,Gazprom,Oil & Gas Operations,Russia,98672.0,25718.5,275891.0,172916.0,
2012,,Gazprom,Oil & Gas Operations,Russia,117624.0,31671.8,302552.0,159751.0,15.0
2013,,Gazprom,Oil & Gas Operations,Russia,143982.0,40582.9,339342.0,111368.0,17.0
2014,,Gazprom,Oil & Gas Operations,Russia,164623.0,38972.7,397237.0,88824.0,21.0
2015,,Gazprom,Oil & Gas Operations,Russia,157974.0,24099.9,356029.0,62486.0,27.0
2016,,Gazprom,Oil & Gas Operations,Russia,102051.0,4877.4,250240.0,57146.0,53.0
2017,,Gazprom,Oil & Gas Operations,Russia,91353.0,12141.2,265393.0,51815.0,40.0
2018,,Gazprom,Oil & Gas Operations,Russia,112226.0,12245.9,316803.0,57835.0,43.0
2019,,Gazprom,Oil & Gas Operations,Russia,128430.0,18916.0,305935.0,59861.0,40.0
2020,,Gazprom,Oil & Gas Operations,Russia,122600.0,22733.6,331650.0,60825.0,32.0
2021,,Gazprom,Oil & Gas Operations,Russia,90453.0,-921.2,294924.0,73474.0,367
2022,49,Gazprom,Oil & Gas Operations,Russia,117295.0,25435.6,360474.0,63561.0,
