Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1679.0,Gemdale,Real Estate,China,2972.0,408.7,10997.0,4455.0,
2012,,Gemdale,Real Estate,China,2973.0,408.7,10997.0,4088.0,1963.0
2013,,Gemdale,Real Estate,China,3800.0,479.4,14282.0,4318.0,1680.0
2014,,Gemdale,Real Estate,China,6274.0,514.2,19197.0,4971.0,1267.0
2015,,Gemdale,Real Estate,China,7401.0,648.8,20095.0,8116.0,981.0
2016,,Gemdale,Real Estate,China,4740.0,704.6,21241.0,8422.0,1029.0
2017,,Gemdale,Real Estate,China,7912.0,948.4,22107.0,7347.0,911.0
2018,,Gemdale,Real Estate,China,5321.0,1066.3,35739.0,8075.0,1016.0
2019,,Gemdale,Construction,China,6819.0,1501.0,38067.0,8753.0,837.0
2020,,Gemdale,Construction,China,8396.0,1458.1,48066.0,8598.0,696.0
2021,,Gemdale,Construction,China,8150.0,1376.1,55764.0,8305.0,808
2022,714,Gemdale,Construction,China,14318.0,1339.0,71522.0,9583.0,
