Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,258.0,General Dynamics,Aerospace & Defense,United States,27240.0,2070,25730.0,32920.0,
2009,204.0,General Dynamics,Aerospace & Defense,United States,29300.0,2460,28370.0,16920.0,
2010,181.0,General Dynamics,Aerospace & Defense,United States,31980.0,2390,31080.0,28510.0,
2011,224.0,General Dynamics,Aerospace & Defense,United States,32466.0,2624.0,32545.0,28374.0,
2012,,General Dynamics,Aerospace & Defense,United States,32677.0,2526.0,34883.0,25984.0,244.0
2013,,General Dynamics,Aerospace & Defense,United States,31513.0,-332.0,34309.0,24709.0,626.0
2014,,General Dynamics,Aerospace & Defense,United States,31218.0,2357.0,35448.0,37739.0,253.0
2015,,General Dynamics,Aerospace & Defense,United States,30911.0,2533.0,35355.0,44743.0,253.0
2016,,General Dynamics,Aerospace & Defense,United States,31469.0,2965.0,31997.0,42909.0,239.0
2017,,General Dynamics,Aerospace & Defense,United States,31353.0,2968.0,32872.0,57046.0,230.0
2018,,General Dynamics,Aerospace & Defense,United States,31067.0,2948.0,37219.0,60571.0,251.0
2019,,General Dynamics,Aerospace & Defense,United States,36193.0,3345.0,45408.0,51069.0,235.0
2020,,General Dynamics,Aerospace & Defense,United States,38838.0,3445.0,53710.0,37470.0,214.0
2021,,General Dynamics,Aerospace & Defense,United States,37925.0,3167.0,51308.0,52307.0,213
2022,250,General Dynamics,Aerospace & Defense,United States,38469.0,3257.0,50073.0,66416.0,
