Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1301.0,Gjensidige Forsikring,Insurance,Norway,3443.0,488.7,14419.0,5812.0,
2012,,Gjensidige Forsikring,Insurance,Norway,3610.0,458.6,14655.0,5852.0,1416.0
2013,,Gjensidige Forsikring,Insurance,Norway,4062.0,768.8,16806.0,8352.0,1059.0
2014,,Gjensidige Forsikring,Insurance,Norway,3779.0,624.2,17838.0,10250.0,1104.0
2015,,Gjensidige Forsikring,Insurance,Norway,3917.0,664.4,15129.0,8823.0,1307.0
2016,,Gjensidige Forsikring,Insurance,Norway,3145.0,469.4,14544.0,8299.0,1402.0
2017,,Gjensidige Forsikring,Insurance,Norway,3406.0,556.1,15709.0,7368.0,1455.0
2018,,Gjensidige Forsikring,Insurance,Norway,3628.0,486.2,19534.0,7913.0,1653.0
2019,,Gjensidige Forsikring,Insurance,Norway,3459.0,457.0,17997.0,9365.0,1599.0
2021,,Gjensidige Forsikring,Insurance,Norway,3136.0,526.2,13694.0,11747.0,1855
2022,1790,Gjensidige Forsikring,Insurance,Norway,3688.0,830.5,14604.0,12077.0,
