Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,848.0,Goldcorp,Materials,Canada,2360.0,490,19000.0,30730.0,
2009,652.0,Goldcorp,Materials,Canada,2420.0,1480,19010.0,21230.0,
2010,872.0,Goldcorp,Materials,Canada,2720.0,240,20950.0,28020.0,
2011,562.0,Goldcorp,Diversified Metals & Mining,Canada,3800.0,1574.3,28809.0,37699.0,
2012,,Goldcorp,Diversified Metals & Mining,Canada,5362.0,1881.0,29374.0,35687.0,507.0
2013,,Goldcorp,Diversified Metals & Mining,Canada,5435.0,1749.0,31212.0,26404.0,559.0
2014,,Goldcorp,Diversified Metals & Mining,Canada,3801.0,-2722.7,29564.0,19938.0,1160.0
2015,,Goldcorp,Diversified Metals & Mining,Canada,3497.0,-2209.7,27866.0,16024.0,1268.0
2016,,Goldcorp,Diversified Metals & Mining,Canada,4370.0,-4403.5,21428.0,14216.0,1290.0
2017,,Goldcorp,Diversified Metals & Mining,Canada,3517.0,166.9,21497.0,12605.0,1461.0
2018,,Goldcorp,Diversified Metals & Mining,Canada,3385.0,555.6,21615.0,11996.0,1274.0
