Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,693.0,Goodyear,Consumer Durables,United States,19640.0,600,17190.0,6510.0,
2009,1189.0,Goodyear,Consumer Durables,United States,19490.0,-80,15230.0,1070.0,
2010,1256.0,Goodyear,Consumer Durables,United States,16300.0,-380,14410.0,3220.0,
2011,1251.0,Goodyear,Consumer Durables,United States,18832.0,-216.0,15630.0,3640.0,
2012,,Goodyear,Consumer Durables,United States,22767.0,343.0,17629.0,2974.0,1054.0
2013,,Goodyear,Consumer Durables,United States,20992.0,212.0,16973.0,3369.0,1275.0
2014,,Goodyear,Consumer Durables,United States,19540.0,629.0,17527.0,6727.0,810.0
2015,,Goodyear,Consumer Durables,United States,18138.0,2452.0,18109.0,7367.0,675.0
2016,,Goodyear,Consumer Durables,United States,16443.0,307.0,16439.0,8653.0,983.0
2017,,Goodyear,Consumer Durables,United States,15158.0,1264.0,16511.0,8863.0,732.0
2018,,Goodyear,Consumer Durables,United States,15508.0,255.0,17580.0,6125.0,1434.0
2019,,Goodyear,Consumer Durables,United States,15475.0,693.0,16872.0,4764.0,1111.0
2020,,Goodyear,Consumer Durables,United States,14203.0,-869.0,16691.0,1668.0,1597.0
2021,,Goodyear,Consumer Durables,United States,12321.0,-1254.0,16506.0,4136.0,1777
2022,1234,Goodyear,Consumer Durables,United States,17478.0,764.0,21402.0,3725.0,
