Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,667.0,Grupa PZU,Insurance,Poland,6168.0,1313.0,18312.0,10152.0,
2012,,Grupa PZU,Insurance,Poland,5904.0,795.3,15140.0,9156.0,871.0
2013,,Grupa PZU,Insurance,Poland,6318.0,1002.0,18071.0,11313.0,766.0
2014,,Grupa PZU,Insurance,Poland,5974.0,1042.1,19597.0,12344.0,797.0
2015,,Grupa PZU,Insurance,Poland,6248.0,940.5,18812.0,11533.0,855.0
2016,,Grupa PZU,Insurance,Poland,5292.0,621.0,26420.0,7811.0,985.0
2017,,Grupa PZU,Insurance,Poland,6380.0,491.8,29791.0,8133.0,1026.0
2018,,Grupa PZU,Insurance,Poland,8670.0,771.0,90985.0,9728.0,770.0
2019,,Grupa PZU,Insurance,Poland,10397.0,888.0,87054.0,9649.0,684.0
2020,,Grupa PZU,Insurance,Poland,10683.0,858.3,90166.0,6313.0,731.0
2021,,Grupa PZU,Insurance,Poland,9824.0,490.5,96182.0,7381.0,906
2022,981,Grupa PZU,Insurance,Poland,10101.0,863.7,99316.0,6444.0,
