Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1181.0,HCP,Diversified Financials,United States,980.0,590,12520.0,6340.0,
2009,1111.0,HCP,Diversified Financials,United States,1030.0,450,11850.0,4640.0,
2010,1475.0,HCP,Diversified Financials,United States,1160.0,130,12210.0,8530.0,
2011,1150.0,HCP,Real Estate,United States,1255.0,330.7,13332.0,14106.0,
2012,,HCP,Real Estate,United States,1725.0,538.9,17408.0,16461.0,955.0
2013,,HCP,Real Estate,United States,1901.0,832.5,19916.0,22070.0,811.0
2014,,HCP,Real Estate,United States,2113.0,919.0,20076.0,17747.0,870.0
2015,,HCP,Real Estate,United States,2277.0,927.7,21370.0,20578.0,862.0
2016,,HCP,Real Estate,United States,2541.0,-514.7,21450.0,15758.0,1340.0
2017,,HCP,Real Estate,United States,2496.0,626.5,15759.0,14891.0,1125.0
2018,,HCP,Real Estate,United States,1835.0,-8.0,14068.0,11312.0,1988.0
