Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1561.0,Hachijuni Bank,Banking,Japan,1580.0,200,52090.0,3500.0,
2009,1241.0,Hachijuni Bank,Banking,Japan,1970.0,200,61140.0,3000.0,
2010,1582.0,Hachijuni Bank,Banking,Japan,1830.0,0,61200.0,2980.0,
2011,1599.0,Hachijuni Bank,Banking,Japan,1773.0,180.9,65860.0,3130.0,
2012,,Hachijuni Bank,Banking,Japan,1906.0,243.1,75888.0,3011.0,1568.0
2013,,Hachijuni Bank,Banking,Japan,1998.0,209.7,80180.0,2869.0,1620.0
2014,,Hachijuni Bank,Banking,Japan,1694.0,291.5,71493.0,2854.0,1517.0
2015,,Hachijuni Bank,Banking,Japan,1441.0,260.2,66085.0,3607.0,1623.0
2016,,Hachijuni Bank,Banking,Japan,1278.0,222.1,69104.0,2398.0,1643.0
2017,,Hachijuni Bank,Banking,Japan,1838.0,252.3,73988.0,2726.0,1628.0
2018,,Hachijuni Bank,Banking,Japan,1575.0,233.2,87532.0,2529.0,1590.0
2019,,Hachijuni Bank,Banking,Japan,1360.0,172.0,91357.0,2083.0,1595.0
2020,,Hachijuni Bank,Banking,Japan,1430.0,233.5,99077.0,1762.0,1628.0
2021,,Hachijuni Bank,Banking,Japan,1314.0,172.6,112291.0,1714.0,1651
2022,1617,Hachijuni Bank,Banking,Japan,1282.0,284.6,120899.0,1605.0,
