Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,964.0,Harley-Davidson,Consumer Durables,United States,6140.0,930,5660.0,8860.0,
2009,1141.0,Harley-Davidson,Consumer Durables,United States,5970.0,650,7830.0,2360.0,
2010,1487.0,Harley-Davidson,Consumer Durables,United States,4780.0,-60,9160.0,5820.0,
2011,1437.0,Harley-Davidson,Consumer Durables,United States,4859.0,146.6,9431.0,9647.0,
2012,,Harley-Davidson,Consumer Durables,United States,3478.0,34.8,24011.0,11384.0,1307.0
2013,,Harley-Davidson,Consumer Durables,United States,5581.0,623.9,9171.0,12536.0,1074.0
2014,,Harley-Davidson,Consumer Durables,United States,5900.0,734.0,9405.0,15014.0,1019.0
2015,,Harley-Davidson,Consumer Durables,United States,6229.0,844.6,9528.0,13000.0,1054.0
2016,,Harley-Davidson,Consumer Durables,United States,6072.0,732.8,10468.0,8910.0,1126.0
2017,,Harley-Davidson,Consumer Durables,United States,5996.0,692.2,9890.0,10697.0,1187.0
