Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,477.0,HeidelbergCement,Construction,Germany,12180.0,1250,16080.0,19230.0,
2009,408.0,HeidelbergCement,Construction,Germany,15860.0,2950,42580.0,3330.0,
2010,296.0,HeidelbergCement,Construction,Germany,19760.0,2520,36360.0,9560.0,
2011,742.0,HeidelbergCement,Construction,Germany,15927.0,61.0,36212.0,12196.0,
2012,,HeidelbergCement,Construction,Germany,17965.0,774.0,37403.0,10974.0,485.0
2013,,HeidelbergCement,Construction,Germany,18028.0,387.0,36958.0,13940.0,595.0
2014,,HeidelbergCement,Construction,Germany,18502.0,989.6,37020.0,16466.0,434.0
2015,,HeidelbergCement,Construction,Germany,16732.0,644.4,34042.0,15190.0,573.0
2016,,HeidelbergCement,Construction,Germany,14931.0,887.2,32002.0,16577.0,485.0
2017,,HeidelbergCement,Construction,Germany,16776.0,781.5,40449.0,18546.0,463.0
2018,,HeidelbergCement,Construction,Germany,19475.0,1035.0,42526.0,18954.0,496.0
2019,,HeidelbergCement,Construction,Germany,21323.0,1348.0,41888.0,16263.0,482.0
2020,,HeidelbergCement,Construction,Germany,10789.0,983.4,44508.0,9428.0,678.0
2021,,HeidelbergCement,Construction,Germany,20070.0,-2438.6,40709.0,19120.0,787
2022,620,HeidelbergCement,Construction,Germany,22127.0,2079.0,39311.0,10910.0,
