Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,473.0,Heineken Holding,"Food, Drink & Tobacco",Netherlands,18340.0,1180,18440.0,12520.0,
2009,740.0,Heineken Holding,"Food, Drink & Tobacco",Netherlands,19940.0,150,28220.0,5710.0,
2010,383.0,Heineken Holding,"Food, Drink & Tobacco",Netherlands,21060.0,730,28150.0,10270.0,
2011,413.0,Heineken Holding,"Food, Drink & Tobacco",Netherlands,21597.0,963.9,35041.0,13030.0,
2012,,Heineken Holding,"Food, Drink & Tobacco",Netherlands,22180.0,928.8,34600.0,13251.0,421.0
2013,,Heineken Holding,"Food, Drink & Tobacco",Netherlands,24252.0,1949.0,46691.0,18646.0,299.0
2014,,Heineken Holding,"Food, Drink & Tobacco",Netherlands,25494.0,1811.0,45937.0,40293.0,245.0
2015,,Heineken Holding,"Food, Drink & Tobacco",Netherlands,25543.0,1009.7,42868.0,20865.0,380.0
2016,,Heineken Holding,"Food, Drink & Tobacco",Netherlands,22745.0,2098.1,41474.0,23265.0,292.0
2017,,Heineken Holding,"Food, Drink & Tobacco",Netherlands,23000.0,1703.5,42050.0,22966.0,316.0
