Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1713.0,Hokkoku Bank,Banking,Japan,630.0,30,26590.0,1530.0,
2009,1718.0,Hokkoku Bank,Banking,Japan,780.0,40,31130.0,1130.0,
2010,1754.0,Hokkoku Bank,Banking,Japan,740.0,-100,31500.0,1260.0,
2011,1747.0,Hokkoku Bank,Banking,Japan,802.0,67.8,34193.0,1200.0,
2012,,Hokkoku Bank,Banking,Japan,841.0,89.4,39623.0,1277.0,1756.0
2013,,Hokkoku Bank,Banking,Japan,844.0,76.3,41283.0,1275.0,1770.0
2014,,Hokkoku Bank,Banking,Japan,643.0,64.4,32759.0,1103.0,1871.0
2015,,Hokkoku Bank,Banking,Japan,647.0,102.4,33012.0,1107.0,1872.0
2016,,Hokkoku Bank,Banking,Japan,623.0,44.1,36533.0,862.0,1830.0
2017,,Hokkoku Bank,Banking,Japan,607.0,135.5,36536.0,1075.0,1841.0
2018,,Hokkoku Bank,Banking,Japan,601.0,91.7,44879.0,1188.0,1795.0
2019,,Hokkoku Bank,Banking,Japan,582.0,70.0,44042.0,857.0,1830.0
2020,,Hokkoku Bank,Banking,Japan,650.0,76.0,44574.0,816.0,1910.0
2021,,Hokkoku Bank,Banking,Japan,688.0,83.9,51443.0,649.0,1935
