Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,68.0,Honda Motor,Consumer Durables,Japan,94350.0,5040,101820.0,56820.0,
2009,39.0,Honda Motor,Consumer Durables,Japan,120270.0,6010,124980.0,44320.0,
2010,86.0,Honda Motor,Consumer Durables,Japan,102820.0,1410,117240.0,63220.0,
2011,80.0,Honda Motor,Consumer Durables,Japan,91797.0,2871.9,122225.0,73248.0,
2012,,Honda Motor,Consumer Durables,Japan,107511.0,6425.1,137675.0,70825.0,59.0
2013,,Honda Motor,Consumer Durables,Japan,96013.0,2554.7,140944.0,72395.0,86.0
2014,,Honda Motor,Consumer Durables,Japan,117698.0,4910.2,147918.0,62974.0,70.0
2015,,Honda Motor,Consumer Durables,Japan,117055.0,5625.3,148670.0,61359.0,63.0
2016,,Honda Motor,Consumer Durables,Japan,118094.0,4425.8,154522.0,51090.0,74.0
2017,,Honda Motor,Consumer Durables,Japan,127865.0,3931.3,161802.0,51382.0,74.0
2018,,Honda Motor,Consumer Durables,Japan,138598.0,9558.0,181938.0,58905.0,58.0
2019,,Honda Motor,Consumer Durables,Japan,142646.0,6620.0,180934.0,50545.0,76.0
2020,,Honda Motor,Consumer Durables,Japan,142390.0,4332.3,188532.0,42646.0,83.0
2021,,Honda Motor,Consumer Durables,Japan,121803.0,3882.8,201271.0,52776.0,82
2022,103,Honda Motor,Consumer Durables,Japan,130157.0,7240.1,193216.0,44993.0,
