Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Hong Kong Exchanges,Diversified Financials,Hong Kong-China,771.0,526.0,10429.0,20196.0,1104.0
2014,,Hong Kong Exchanges,Diversified Financials,Hong Kong,1048.0,586.8,11084.0,17872.0,1144.0
2015,,Hong Kong Exchanges,Diversified Financials,Hong Kong,1270.0,666.0,32478.0,29536.0,801.0
2016,,Hong Kong Exchanges,Diversified Financials,Hong Kong,1666.0,1026.2,30734.0,31785.0,714.0
2017,,Hong Kong Exchanges,Diversified Financials,Hong Kong,1340.0,743.2,31899.0,30868.0,786.0
2018,,Hong Kong Exchanges,Diversified Financials,Hong Kong,1829.0,1056.4,39205.0,41281.0,756.0
2019,,Hong Kong Exchanges,Diversified Financials,Hong Kong,2024.0,1188.0,32691.0,44344.0,734.0
2020,,Hong Kong Exchanges,Diversified Financials,Hong Kong,2082.0,1198.6,35813.0,41106.0,688.0
2021,,Hong Kong Exchanges,Diversified Financials,Hong Kong,2474.0,1483.4,51472.0,76082.0,573
2022,688,Hong Kong Exchanges,Diversified Financials,Hong Kong,2695.0,1612.7,51217.0,54133.0,
