Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1432.0,Hormel Foods,"Food, Drink & Tobacco",United States,6310.0,310,3430.0,5540.0,
2009,1244.0,Hormel Foods,"Food, Drink & Tobacco",United States,6820.0,280,3630.0,4270.0,
2010,1161.0,Hormel Foods,"Food, Drink & Tobacco",United States,6570.0,370,3730.0,5520.0,
2011,1218.0,Hormel Foods,"Food, Drink & Tobacco",United States,7415.0,433.2,4123.0,7408.0,
2012,,Hormel Foods,"Food, Drink & Tobacco",United States,8013.0,453.8,4270.0,7580.0,1254.0
2013,,Hormel Foods,"Food, Drink & Tobacco",United States,8307.0,501.4,4623.0,10404.0,1102.0
2014,,Hormel Foods,"Food, Drink & Tobacco",United States,8878.0,549.8,5067.0,12909.0,1057.0
2015,,Hormel Foods,"Food, Drink & Tobacco",United States,9469.0,621.0,5560.0,15268.0,1002.0
2016,,Hormel Foods,"Food, Drink & Tobacco",United States,9161.0,749.4,6041.0,19957.0,872.0
2017,,Hormel Foods,"Food, Drink & Tobacco",United States,9511.0,890.1,6366.0,18115.0,889.0
2018,,Hormel Foods,"Food, Drink & Tobacco",United States,9219.0,914.7,7859.0,19201.0,958.0
2019,,Hormel Foods,"Food, Drink & Tobacco",United States,9575.0,950.0,8155.0,21636.0,918.0
2020,,Hormel Foods,"Food, Drink & Tobacco",United States,9521.0,980.3,8290.0,25195.0,829.0
2021,,Hormel Foods,"Food, Drink & Tobacco",United States,9685.0,887.5,9958.0,25301.0,855
2022,965,Hormel Foods,"Food, Drink & Tobacco",United States,11969.0,926.1,12827.0,29201.0,
