Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,870.0,Host Hotels & Resorts,Diversified Financials,United States,5430.0,730,11810.0,8480.0,
2009,1228.0,Host Hotels & Resorts,Diversified Financials,United States,5290.0,430,11950.0,1940.0,
2010,1334.0,Host Hotels & Resorts,Diversified Financials,United States,4160.0,-250,12560.0,7600.0,
2011,1305.0,Host Hotels & Resorts,Real Estate,United States,4437.0,-130.0,12411.0,11921.0,
2012,,Host Hotels & Resorts,Real Estate,United States,4999.0,-14.0,13068.0,11275.0,1347.0
2013,,Host Hotels & Resorts,Real Estate,United States,5286.0,61.0,12994.0,12884.0,1355.0
2014,,Host Hotels & Resorts,Real Estate,United States,5263.0,317.0,12814.0,15559.0,1236.0
2015,,Host Hotels & Resorts,Real Estate,United States,5354.0,623.0,12207.0,15397.0,1058.0
2016,,Host Hotels & Resorts,Real Estate,United States,5387.0,558.0,11784.0,11463.0,1106.0
2017,,Host Hotels & Resorts,Real Estate,United States,5430.0,762.0,11408.0,13528.0,1073.0
2018,,Host Hotels & Resorts,Real Estate,United States,5385.0,659.0,12064.0,15368.0,1238.0
2019,,Host Hotels & Resorts,Diversified Financials,United States,5524.0,1087.0,12090.0,13993.0,1157.0
2020,,Host Hotels & Resorts,Diversified Financials,United States,5469.0,920.0,12305.0,8689.0,1356.0
