Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Huaneng Power International,Utilities,China,21126.0,930.0,41197.0,14902.0,404.0
2014,,Huaneng Power International,Utilities,China,21773.0,1709.7,43079.0,12143.0,401.0
2015,,Huaneng Power International,Utilities,China,20205.0,1711.8,44109.0,19035.0,353.0
2016,,Huaneng Power International,Utilities,China,20333.0,2204.8,46563.0,16291.0,323.0
2017,,Huaneng Power International,Utilities,China,16942.0,1343.3,44524.0,14429.0,420.0
2018,,Huaneng Power International,Utilities,China,23710.0,361.0,60809.0,13633.0,745.0
2019,,Huaneng Power International,Utilities,China,25373.0,235.0,58762.0,13735.1,746.0
2020,,Huaneng Power International,Utilities,China,24915.0,28.6,61480.0,5913.0,961.0
2021,,Huaneng Power International,Utilities,China,24322.0,64.8,68795.0,5516.0,985
2022,979,Huaneng Power International,Utilities,China,31471.0,-1993.0,78573.0,7464.0,
