Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,999.0,Huatai Securities,Diversified Financials,China,1670.0,555.9,14421.0,12308.0,
2012,,Huatai Securities,Diversified Financials,China,1677.0,519.7,17199.0,8760.0,1146.0
2013,,Huatai Securities,Diversified Financials,China,1254.0,284.0,13583.0,9472.0,1519.0
2014,,Huatai Securities,Diversified Financials,China,1109.0,343.6,16455.0,6938.0,1579.0
2015,,Huatai Securities,Diversified Financials,China,2732.0,728.1,43879.0,27938.0,762.0
2016,,Huatai Securities,Diversified Financials,China,4228.0,1707.7,69702.0,19196.0,598.0
2017,,Huatai Securities,Diversified Financials,China,3675.0,943.7,57767.0,16904.0,752.0
2018,,Huatai Securities,Diversified Financials,China,3149.0,1490.0,63538.0,19569.0,736.0
2019,,Huatai Securities,Diversified Financials,China,2450.0,770.0,53697.0,24501.4,798.0
2020,,Huatai Securities,Diversified Financials,China,4410.0,1301.1,80707.0,15127.0,698.0
2021,,Huatai Securities,Diversified Financials,China,6739.0,1562.9,109598.0,13119.0,618
2022,753,Huatai Securities,Diversified Financials,China,6042.0,2055.6,126566.0,12737.0,
