Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Huaxia Bank,Banking,China,10519.0,1465.0,197246.0,11476.0,407.0
2014,,Huaxia Bank,Banking,China,12920.0,2383.6,253481.0,12037.0,365.0
2015,,Huaxia Bank,Banking,China,16235.0,2855.4,290592.0,19209.0,273.0
2016,,Huaxia Bank,Banking,China,16932.0,3007.4,306762.0,16687.0,245.0
2017,,Huaxia Bank,Banking,China,15859.0,2997.8,340888.0,17580.0,255.0
2018,,Huaxia Bank,Banking,China,18673.0,2998.0,404355.0,17206.0,289.0
2019,,Huaxia Bank,Banking,China,19993.0,3074.0,379762.0,20080.0,265.0
2020,,Huaxia Bank,Banking,China,21259.0,3130.5,440093.0,14313.0,271.0
2021,,Huaxia Bank,Banking,China,22937.0,2965.6,489185.0,14814.0,263
2022,336,Huaxia Bank,Banking,China,26379.0,3587.7,549239.0,13283.0,
