Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1807.0,Hunan Valin Steel,Capital Goods,China,6000.0,220,6640.0,1980.0,
2010,1766.0,Hunan Valin Steel,Materials,China,8260.0,140,7400.0,2580.0,
2011,1883.0,Hunan Valin Steel,Diversified Metals & Mining,China,6077.0,17.6,9385.0,1711.0,
2012,,Hunan Valin Steel,Diversified Metals & Mining,China,9192.0,-401.1,11322.0,1364.0,1668.0
2013,,Hunan Valin Steel,Diversified Metals & Mining,China,11732.0,11.0,13640.0,1000.0,1544.0
2014,,Hunan Valin Steel,Diversified Metals & Mining,China,9675.0,17.2,11693.0,879.0,1786.0
2015,,Hunan Valin Steel,Diversified Metals & Mining,China,9000.0,12.1,11781.0,2321.0,1858.0
2018,,Hunan Valin Steel,Diversified Metals & Mining,China,11771.0,806.8,12110.0,3937.0,1266.0
2019,,Hunan Valin Steel,Materials,China,13687.0,1024.0,10958.0,3729.0,1242.0
2020,,Hunan Valin Steel,Materials,China,14455.0,613.8,12156.0,3468.0,1349.0
2021,,Hunan Valin Steel,Materials,China,16786.0,926.5,13875.0,7263.0,1078
2022,1020,Hunan Valin Steel,Materials,China,25840.0,1432.2,16551.0,6294.0,
