Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,245.0,Hyundai Motor,Consumer Durables,South Korea,68740.0,1360,75990.0,15610.0,
2009,196.0,Hyundai Motor,Consumer Durables,South Korea,73780.0,1700,89000.0,6980.0,
2010,188.0,Hyundai Motor,Consumer Durables,South Korea,63950.0,690,81450.0,21840.0,
2011,131.0,Hyundai Motor,Consumer Durables,South Korea,78475.0,2551.2,87564.0,35788.0,
2012,,Hyundai Motor,Consumer Durables,South Korea,70291.0,6917.1,94474.0,43629.0,96.0
2013,,Hyundai Motor,Consumer Durables,South Korea,75026.0,7605.0,114254.0,41460.0,89.0
2014,,Hyundai Motor,Consumer Durables,South Korea,79750.0,7802.5,126424.0,49716.0,87.0
2015,,Hyundai Motor,Consumer Durables,South Korea,84791.0,6979.3,133945.0,32854.0,117.0
2016,,Hyundai Motor,Consumer Durables,South Korea,81250.0,5670.0,141033.0,28938.0,108.0
2017,,Hyundai Motor,Consumer Durables,South Korea,80719.0,4660.0,148068.0,34221.0,104.0
2018,,Hyundai Motor,Consumer Durables,South Korea,85908.0,3033.0,164714.0,31567.0,147.0
2019,,Hyundai Motor,Consumer Durables,South Korea,87970.0,1370.0,161907.0,31241.0,225.0
2020,,Hyundai Motor,Consumer Durables,South Korea,90515.0,2285.1,163347.0,20117.0,189.0
2021,,Hyundai Motor,Consumer Durables,South Korea,88142.0,1207.3,192713.0,53970.0,154
2022,147,Hyundai Motor,Consumer Durables,South Korea,102702.0,4315.9,196800.0,37610.0,
