Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,366.0,Inpex,Oil & Gas Operations,Japan,12050.0,1740,17960.0,16340.0,
2010,394.0,Inpex,Oil & Gas Operations,Japan,11050.0,1490,17640.0,17200.0,
2011,469.0,Inpex,Oil & Gas Operations,Japan,8993.0,1147.2,21289.0,24008.0,
2012,,Inpex,Oil & Gas Operations,Japan,11345.0,1548.2,32012.0,25189.0,393.0
2013,,Inpex,Oil & Gas Operations,Japan,14336.0,2343.5,36890.0,20577.0,342.0
2014,,Inpex,Oil & Gas Operations,Japan,13574.0,1564.5,37697.0,19105.0,411.0
2015,,Inpex,Oil & Gas Operations,Japan,11944.0,1685.5,37202.0,16298.0,493.0
2016,,Inpex,Oil & Gas Operations,Japan,8704.0,359.2,38331.0,12258.0,802.0
2017,,Inpex,Oil & Gas Operations,Japan,7583.0,-25.3,37478.0,14856.0,978.0
2018,,Inpex,Oil & Gas Operations,Japan,8424.0,364.2,40015.0,18479.0,916.0
2019,,Inpex,Oil & Gas Operations,Japan,8426.0,449.0,43945.0,13801.0,892.0
2020,,Inpex,Oil & Gas Operations,Japan,12231.0,1511.2,44628.0,9437.0,597.0
2021,,Inpex,Oil & Gas Operations,Japan,7222.0,-1046.2,44889.0,10413.0,1352
2022,635,Inpex,Oil & Gas Operations,Japan,11325.0,2030.0,44794.0,17107.0,
