Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,882.0,Insurance Australia Group,Insurance,Australia,6560.0,470,18130.0,6540.0,
2009,979.0,Insurance Australia Group,Insurance,Australia,8060.0,-250,18320.0,4480.0,
2010,1046.0,Insurance Australia Group,Insurance,Australia,6770.0,150,15310.0,7640.0,
2011,1203.0,Insurance Australia Group,Insurance,Australia,6788.0,76.5,17015.0,7255.0,
2012,,Insurance Australia Group,Insurance,Australia,8921.0,268.0,24208.0,7333.0,1021.0
2013,,Insurance Australia Group,Insurance,Australia,9211.0,211.9,25379.0,12441.0,952.0
2014,,Insurance Australia Group,Insurance,Australia,8954.0,933.6,23724.0,11911.0,667.0
2015,,Insurance Australia Group,Insurance,Australia,9498.0,1054.5,24722.0,10818.0,712.0
2016,,Insurance Australia Group,Insurance,Australia,7446.0,461.5,22018.0,10876.0,891.0
2017,,Insurance Australia Group,Insurance,Australia,6663.0,449.8,21192.0,10632.0,1031.0
2018,,Insurance Australia Group,Insurance,Australia,7147.0,792.6,23039.0,14684.0,885.0
2019,,Insurance Australia Group,Insurance,Australia,5491.0,651.0,20251.0,12792.0,1109.0
2020,,Insurance Australia Group,Insurance,Australia,5531.0,598.3,20423.0,8745.0,1243.0
2021,,Insurance Australia Group,Insurance,Australia,5407.0,-212.0,24971.0,9269.0,1997
