Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1969.0,Inventec,Technology Hardware & Equipment,Taiwan,7890.0,170,2860.0,1430.0,
2010,1663.0,Inventec,Technology Hardware & Equipment,Taiwan,11530.0,160,3940.0,1590.0,
2011,1747.0,Inventec,Technology Hardware & Equipment,Taiwan,13912.0,144.2,4533.0,1512.0,
2012,,Inventec,Technology Hardware & Equipment,Taiwan,12929.0,119.4,4361.0,1620.0,1855.0
2013,,Inventec,Technology Hardware & Equipment,Taiwan,13886.0,109.0,6894.0,1328.0,1866.0
2014,,Inventec,Technology Hardware & Equipment,Taiwan,14856.0,199.5,6901.0,3478.0,1822.0
2015,,Inventec,Technology Hardware & Equipment,Taiwan,14375.0,234.2,6193.0,2583.0,1841.0
2016,,Inventec,Technology Hardware & Equipment,Taiwan,12454.0,175.2,5350.0,2326.0,1874.0
2017,,Inventec,Technology Hardware & Equipment,Taiwan,13285.0,174.8,5659.0,2566.0,1834.0
2018,,Inventec,Technology Hardware & Equipment,Taiwan,15367.0,222.0,7015.0,2785.0,1786.0
2019,,Inventec,Technology Hardware & Equipment,Taiwan,16810.0,216.0,6696.0,2850.0,1773.0
2020,,Inventec,Technology Hardware & Equipment,Taiwan,16205.0,178.2,6441.0,2835.0,1848.0
2021,,Inventec,Technology Hardware & Equipment,Taiwan,17263.0,256.3,7622.0,3431.0,1857
2022,1863,Inventec,Technology Hardware & Equipment,Taiwan,18607.0,234.1,8950.0,3078.0,
