Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,904.0,Investec,Diversified Financials,United Kingdom/South Africa,3850.0,670,51650.0,4820.0,
2009,794.0,Investec,Diversified Financials,United Kingdom/South Africa,6060.0,780,67610.0,1960.0,
2010,766.0,Investec,Diversified Financials,United Kingdom/South Africa,5010.0,420,52990.0,4960.0,
2011,774.0,Investec,Diversified Financials,United Kingdom,6056.0,525.2,70441.0,5992.0,
2012,,Investec,Diversified Financials,United Kingdom,5973.0,673.9,81472.0,5396.0,817.0
2013,,Investec,Diversified Financials,United Kingdom,5843.0,396.7,82124.0,6528.0,924.0
2014,,Investec,Diversified Financials,United Kingdom,5369.0,488.8,76970.0,6825.0,939.0
2015,,Investec,Diversified Financials,United Kingdom,5398.0,478.6,74462.0,7693.0,974.0
2016,,Investec,Diversified Financials,United Kingdom,5052.0,496.5,63165.0,7051.0,959.0
2017,,Investec,Diversified Financials,United Kingdom,4838.0,538.5,68170.0,6307.0,1085.0
2018,,Investec,Diversified Financials,United Kingdom,5359.0,616.0,69522.0,7549.0,1070.0
2019,,Investec,Diversified Financials,United Kingdom,5962.0,716.0,73206.0,6315.0,1067.0
2020,,Investec,Diversified Financials,United Kingdom,5840.0,647.3,73601.0,1997.0,1107.0
2021,,Investec,Diversified Financials,United Kingdom,3635.0,1258.6,65499.0,3194.0,1054
2022,1624,Investec,Diversified Financials,United Kingdom,3907.0,559.9,72075.0,5664.0,
