Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,880.0,Isetan Mitsukoshi Holdings,Retailing,Japan,15800.0,340,13350.0,2770.0,
2010,1149.0,Isetan Mitsukoshi Holdings,Retailing,Japan,14650.0,50,13600.0,4130.0,
2011,1328.0,Isetan Mitsukoshi Holdings,Retailing,Japan,13820.0,-679.7,13189.0,4422.0,
2012,,Isetan Mitsukoshi Holdings,Retailing,Japan,14686.0,31.8,14850.0,4507.0,1304.0
2013,,Isetan Mitsukoshi Holdings,Retailing,Japan,14978.0,711.0,14893.0,5256.0,882.0
2014,,Isetan Mitsukoshi Holdings,Retailing,Japan,13147.0,280.9,12205.0,4884.0,1506.0
2015,,Isetan Mitsukoshi Holdings,Retailing,Japan,12244.0,184.9,10912.0,7044.0,1522.0
2016,,Isetan Mitsukoshi Holdings,Retailing,Japan,10734.0,296.3,10943.0,4501.0,1640.0
2017,,Isetan Mitsukoshi Holdings,Retailing,Japan,11497.0,202.5,11222.0,4210.0,1748.0
2018,,Isetan Mitsukoshi Holdings,Retailing,Japan,11448.0,-8.7,12075.0,4701.0,1841.0
2019,,Isetan Mitsukoshi Holdings,Retailing,Japan,11036.0,17.0,12023.0,3635.0,1931.0
