Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,237.0,JFE Holdings,Materials,Japan,27750.0,2550,32840.0,26240.0,
2009,178.0,JFE Holdings,Materials,Japan,35470.0,2620,41420.0,13530.0,
2010,160.0,JFE Holdings,Materials,Japan,40140.0,1990,42880.0,22990.0,
2011,420.0,JFE Holdings,Diversified Metals & Mining,Japan,30435.0,488.5,41399.0,18713.0,
2012,,JFE Holdings,Diversified Metals & Mining,Japan,38443.0,705.0,47208.0,13439.0,401.0
2013,,JFE Holdings,Diversified Metals & Mining,Japan,38251.0,-442.5,47416.0,12587.0,667.0
2014,,JFE Holdings,Diversified Metals & Mining,Japan,36111.0,960.6,40097.0,10873.0,441.0
2015,,JFE Holdings,Diversified Metals & Mining,Japan,36307.0,1253.6,37963.0,13604.0,411.0
2016,,JFE Holdings,Diversified Metals & Mining,Japan,29564.0,580.6,36242.0,10291.0,558.0
2017,,JFE Holdings,Diversified Metals & Mining,Japan,29408.0,272.6,36094.0,9421.0,819.0
2018,,JFE Holdings,Diversified Metals & Mining,Japan,33191.0,1305.0,41945.0,12463.0,501.0
2019,,JFE Holdings,Materials,Japan,35738.0,1422.0,41777.0,10060.0,531.0
2020,,JFE Holdings,Materials,Japan,34931.0,1474.5,45383.0,3899.0,642.0
2021,,JFE Holdings,Materials,Japan,30502.0,-2756.8,44377.0,7551.0,1057
2022,654,JFE Holdings,Materials,Japan,36462.0,2465.2,45340.0,7252.0,
