Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,4.0,JPMorgan Chase,Banking,United States,116350.0,15370,1562150.0,136880.0,
2009,16.0,JPMorgan Chase,Banking,United States,101490.0,3700,2175050.0,85870.0,
2010,1.0,JPMorgan Chase,Banking,United States,115630.0,11650,2031990.0,166190.0,
2011,1.0,JPMorgan Chase,Banking,United States,115475.0,17370.0,2117600.0,182206.0,
2012,,JPMorgan Chase,Banking,United States,110838.0,18976.0,2265792.0,170140.0,2.0
2013,,JPMorgan Chase,Banking,United States,108184.0,21284.0,2359141.0,191450.0,3.0
2014,,JPMorgan Chase,Banking,United States,105661.0,17324.0,2435283.0,229747.0,4.0
2015,,JPMorgan Chase,Banking,United States,97817.0,21219.0,2593562.0,225451.0,6.0
2016,,JPMorgan Chase,Banking,United States,99881.0,23548.0,2423808.0,234247.0,5.0
2017,,JPMorgan Chase,Banking,United States,102494.0,24231.0,2512986.0,306616.0,4.0
2018,,JPMorgan Chase,Banking,United States,118180.0,26496.0,2609785.0,387668.0,3.0
2019,,JPMorgan Chase,Diversified Financials,United States,132912.0,32738.0,2737188.0,368502.0,2.0
2020,,JPMorgan Chase,Diversified Financials,United States,142927.0,29954.0,3139431.0,291737.0,3.0
2021,,JPMorgan Chase,Diversified Financials,United States,136187.0,40371.0,3689336.0,464822.0,2
2022,4,JPMorgan Chase,Diversified Financials,United States,124542.0,42115.0,3954687.0,374446.0,
