Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,496.0,J Sainsbury,Food Markets,United Kingdom,33760.0,640,18850.0,12320.0,
2009,426.0,J Sainsbury,Food Markets,United Kingdom,35390.0,650,20100.0,7860.0,
2010,529.0,J Sainsbury,Food Markets,United Kingdom,26900.0,410,14380.0,9370.0,
2011,501.0,J Sainsbury,Food Markets,United Kingdom,30294.0,887.7,16466.0,10971.0,
2012,,J Sainsbury,Food Markets,United Kingdom,33817.0,1025.6,18272.0,9023.0,534.0
2013,,J Sainsbury,Food Markets,United Kingdom,35727.0,958.3,19716.0,10366.0,520.0
2014,,J Sainsbury,Food Markets,United Kingdom,37171.0,989.1,20903.0,9816.0,559.0
2015,,J Sainsbury,Food Markets,United Kingdom,39634.0,53.0,26734.0,7472.0,939.0
2016,,J Sainsbury,Food Markets,United Kingdom,36333.0,679.5,25702.0,8112.0,630.0
2017,,J Sainsbury,Food Markets,United Kingdom,33667.0,689.7,25793.0,7100.0,723.0
2018,,J Sainsbury,Food Markets,United Kingdom,37713.0,409.5,30863.0,9125.0,872.0
2019,,J Sainsbury,Food Markets,United Kingdom,38900.0,362.0,29395.0,6537.0,1044.0
2020,,J Sainsbury,Food Markets,United Kingdom,37016.0,164.7,35684.0,5525.0,1058.0
2021,,J Sainsbury,Food Markets,United Kingdom,36735.0,-6.4,34218.0,7621.0,1100
2022,1136,J Sainsbury,Food Markets,United Kingdom,40823.0,389.9,34620.0,7170.0,
