Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1965.0,Jeronimo Martins,Food Markets,Portugal,5810.0,150,3340.0,4660.0,
2009,1656.0,Jeronimo Martins,Food Markets,Portugal,7810.0,190,4460.0,2580.0,
2010,1185.0,Jeronimo Martins,Food Markets,Portugal,9600.0,230,5090.0,6160.0,
2011,1024.0,Jeronimo Martins,Food Markets,Portugal,11635.0,376.2,5489.0,9754.0,
2012,,Jeronimo Martins,Food Markets,Portugal,12744.0,440.8,5742.0,11882.0,980.0
2013,,Jeronimo Martins,Food Markets,Portugal,13985.0,462.9,5862.0,12850.0,940.0
2014,,Jeronimo Martins,Food Markets,Portugal,15705.0,507.5,7026.0,10593.0,978.0
2015,,Jeronimo Martins,Food Markets,Portugal,16820.0,400.2,6259.0,8357.0,1229.0
2016,,Jeronimo Martins,Food Markets,Portugal,15223.0,369.6,5793.0,10158.0,1089.0
2017,,Jeronimo Martins,Food Markets,Portugal,16175.0,656.2,5997.0,11242.0,940.0
2018,,Jeronimo Martins,Food Markets,Portugal,19630.0,459.0,7735.0,10252.0,1158.0
2019,,Jeronimo Martins,Food Markets,Portugal,20453.0,473.0,7613.0,9927.0,1167.0
2020,,Jeronimo Martins,Food Markets,Portugal,20861.0,436.4,10946.0,10625.0,1086.0
2021,,Jeronimo Martins,Food Markets,Portugal,21994.0,355.8,11536.0,10795.0,1297
2022,1228,Jeronimo Martins,Food Markets,Portugal,24690.0,547.1,11790.0,13698.0,
