Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,294.0,KDDI,Telecommunications Services,Japan,28380.0,1590,22880.0,27570.0,
2009,188.0,KDDI,Telecommunications Services,Japan,36030.0,2180,27920.0,23700.0,
2010,172.0,KDDI,Telecommunications Services,Japan,35920.0,2290,33590.0,24380.0,
2011,202.0,KDDI,Telecommunications services,Japan,36831.0,2276.6,39802.0,30134.0,
2012,,KDDI,Telecommunications services,Japan,41318.0,3069.1,44042.0,29186.0,191.0
2013,,KDDI,Telecommunications services,Japan,43151.0,2882.3,47381.0,29136.0,199.0
2014,,KDDI,Telecommunications services,Japan,42322.0,3379.0,46079.0,46878.0,178.0
2015,,KDDI,Telecommunications services,Japan,42566.0,3820.1,43532.0,64026.0,176.0
2016,,KDDI,Telecommunications services,Japan,37337.0,4009.8,46484.0,81631.0,157.0
2017,,KDDI,Telecommunications services,Japan,43156.0,5129.6,52308.0,68324.0,141.0
2018,,KDDI,Telecommunications services,Japan,45492.0,5165.7,61820.0,65526.0,144.0
2019,,KDDI,Telecommunications Services,Japan,45757.0,5322.0,65232.0,52502.0,170.0
2020,,KDDI,Telecommunications Services,Japan,47805.0,5896.4,86472.0,66867.0,122.0
2021,,KDDI,Telecommunications Services,Japan,49251.0,6159.3,98412.0,72138.0,106
2022,146,KDDI,Telecommunications Services,Japan,49172.0,5979.5,94135.0,74120.0,
