Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1161.0,Kesko,Food Markets,Finland,13920.0,420,5980.0,4490.0,
2009,1321.0,Kesko,Food Markets,Finland,13370.0,310,5410.0,2100.0,
2010,1502.0,Kesko,Food Markets,Finland,12100.0,180,5510.0,3560.0,
2011,1542.0,Kesko,Food Markets,Finland,11750.0,274.4,5604.0,4270.0,
2012,,Kesko,Food Markets,Finland,12254.0,235.8,5439.0,3223.0,1883.0
2013,,Kesko,Food Markets,Finland,12778.0,169.0,5768.0,3202.0,1919.0
2014,,Kesko,Food Markets,Finland,12367.0,229.8,6010.0,4395.0,1924.0
2015,,Kesko,Food Markets,Finland,12032.0,127.3,5079.0,4370.0,1956.0
2017,,Kesko,Food Markets,Finland,11261.0,108.4,4649.0,4499.0,1937.0
2018,,Kesko,Food Markets,Finland,12261.0,314.4,5871.0,5901.0,1927.0
2019,,Kesko,Food Markets,Finland,12249.0,254.0,4919.0,5647.0,1978.0
2020,,Kesko,Food Markets,Finland,12065.0,372.0,7667.0,6494.0,1637.0
2021,,Kesko,Food Markets,Finland,12163.0,494.1,8127.0,12186.0,1224
2022,1410,Kesko,Food Markets,Finland,13357.0,675.9,7922.0,10526.0,
