Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,585.0,Kohl's,Retailing,United States,16470.0,1080,10560.0,13940.0,
2009,494.0,Kohl's,Retailing,United States,16390.0,890,11330.0,10710.0,
2010,415.0,Kohl's,Retailing,United States,17180.0,990,13160.0,16540.0,
2011,496.0,Kohl's,Retailing,United States,18391.0,1115.0,13564.0,15924.0,
2012,,Kohl's,Retailing,United States,18804.0,1166.0,14094.0,12765.0,556.0
2013,,Kohl's,Retailing,United States,19279.0,987.0,13905.0,11393.0,616.0
2014,,Kohl's,Retailing,United States,19031.0,889.0,14378.0,11857.0,652.0
2015,,Kohl's,Retailing,United States,19023.0,868.0,14431.0,15983.0,652.0
2016,,Kohl's,Retailing,United States,19204.0,673.0,13606.0,8418.0,808.0
2017,,Kohl's,Retailing,United States,18686.0,555.0,13574.0,6756.0,1019.0
2018,,Kohl's,Retailing,United States,19095.0,859.0,13340.0,10133.0,919.0
2019,,Kohl's,Retailing,United States,20229.0,800.0,12469.0,11482.0,885.0
2020,,Kohl's,Retailing,United States,19974.0,691.0,14555.0,2866.0,1128.0
2021,,Kohl's,Retailing,United States,15955.0,-163.0,15337.0,9363.0,1542
2022,1267,Kohl's,Retailing,United States,19433.0,938.0,15054.0,7376.0,
