Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,396.0,Komatsu,Capital Goods,Japan,16110.0,1400,15520.0,26080.0,
2009,299.0,Komatsu,Capital Goods,Japan,22480.0,2090,20980.0,10110.0,
2010,351.0,Komatsu,Capital Goods,Japan,20760.0,810,19570.0,19360.0,
2011,558.0,Komatsu,Capital Goods,Japan,15318.0,359.1,20576.0,30527.0,
2012,,Komatsu,Capital Goods,Japan,22173.0,1813.6,25748.0,27839.0,316.0
2013,,Komatsu,Capital Goods,Japan,23940.0,2017.9,27715.0,22161.0,331.0
2014,,Komatsu,Capital Goods,Japan,19708.0,1542.3,25892.0,19667.0,410.0
2015,,Komatsu,Capital Goods,Japan,18902.0,1518.1,24195.0,19688.0,454.0
2016,,Komatsu,Capital Goods,Japan,15798.0,1166.6,22198.0,17755.0,493.0
2017,,Komatsu,Capital Goods,Japan,15748.0,938.9,22957.0,24277.0,509.0
2018,,Komatsu,Capital Goods,Japan,22567.0,1772.1,31712.0,31074.0,393.0
2019,,Komatsu,Capital Goods,Japan,24573.0,2042.0,31986.0,23746.0,394.0
2020,,Komatsu,Capital Goods,Japan,23238.0,1903.3,34315.0,18215.0,405.0
2021,,Komatsu,Capital Goods,Japan,19928.0,791.3,34801.0,29278.0,471
2022,496,Komatsu,Capital Goods,Japan,24510.0,1779.9,34974.0,22060.0,
