Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,969.0,Korea Gas,Utilities,South Korea,14080.0,260,13250.0,5840.0,
2009,927.0,Korea Gas,Utilities,South Korea,15290.0,390,13490.0,2070.0,
2010,905.0,Korea Gas,Utilities,South Korea,18780.0,260,17490.0,3360.0,
2011,1213.0,Korea Gas,Oil & Gas Operations,South Korea,16766.0,205.4,19764.0,2264.0,
2012,,Korea Gas,Oil & Gas Operations,South Korea,24590.0,156.6,31248.0,2454.0,1077.0
2013,,Korea Gas,Oil & Gas Operations,South Korea,31115.0,325.7,34314.0,4741.0,858.0
2014,,Korea Gas,Oil & Gas Operations,South Korea,34768.0,-183.3,41376.0,5429.0,961.0
2015,,Korea Gas,Oil & Gas Operations,South Korea,35420.0,424.9,42553.0,3025.0,838.0
2016,,Korea Gas,Oil & Gas Operations,South Korea,23019.0,282.0,36148.0,3147.0,1019.0
2017,,Korea Gas,Oil & Gas Operations,South Korea,18194.0,-581.0,33058.0,3561.0,1137.0
2018,,Korea Gas,Oil & Gas Operations,South Korea,19613.0,-1067.1,34692.0,4622.0,1134.0
2019,,Korea Gas,Oil & Gas Operations,South Korea,23791.0,459.0,35571.0,3530.0,984.0
2020,,Korea Gas,Oil & Gas Operations,South Korea,21420.0,30.9,33994.0,1938.0,1168.0
2021,,Korea Gas,Oil & Gas Operations,South Korea,17656.0,-145.8,33057.0,2556.0,1233
2022,943,Korea Gas,Oil & Gas Operations,South Korea,24028.0,830.2,36736.0,2805.0,
