Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,928.0,Korean Air,Transportation,South Korea,8970.0,390,15220.0,5540.0,
2009,1283.0,Korean Air,Transportation,South Korea,9610.0,10,18170.0,1440.0,
2010,1355.0,Korean Air,Transportation,South Korea,8410.0,-1560,13820.0,3610.0,
2011,1462.0,Korean Air,Airline,South Korea,7613.0,-77.9,16236.0,3688.0,
2012,,Korean Air,Airline,South Korea,10588.0,-188.8,18766.0,3535.0,1397.0
2013,,Korean Air,Airline,South Korea,11298.0,219.0,21597.0,2563.0,1373.0
2014,,Korean Air,Airline,South Korea,10911.0,-221.3,21718.0,2123.0,1388.0
2015,,Korean Air,Airline,South Korea,11314.0,-456.2,21349.0,3558.0,1390.0
2016,,Korean Air,Airline,South Korea,10200.0,-499.2,20622.0,1970.0,1433.0
2017,,Korean Air,Airline,South Korea,10112.0,-486.9,19835.0,2580.0,1471.0
2018,,Korean Air,Airline,South Korea,10696.0,700.1,23024.0,3060.0,1088.0
2019,,Korean Air,Transportation,South Korea,11831.0,-175.0,22925.0,2996.0,1446.0
2020,,Korean Air,Transportation,South Korea,10876.0,-539.4,23360.0,1559.0,1554.0
2022,1850,Korean Air,Transportation,South Korea,7873.0,489.8,22437.0,8813.0,
